date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,,
2018-01-14,0.0,0.0,0.0,,
2018-01-21,0.0,0.0,0.0,,
2018-01-28,0.0,0.0,0.0,,
2018-02-04,0.0,0.0,0.0,,
2018-02-11,56.0,35.0,10.0,,
2018-02-18,0.0,0.0,0.0,,
2018-02-25,44.0,27.0,8.0,,
2018-03-04,66.0,41.0,12.0,,
2018-03-11,0.0,0.0,0.0,,
2018-03-18,0.0,0.0,0.0,,
2018-03-25,0.0,0.0,0.0,,
2018-04-01,0.0,0.0,0.0,,
2018-04-08,100.0,62.0,19.0,,
2018-04-15,61.0,38.0,11.0,,
2018-04-22,0.0,0.0,0.0,,
2018-04-29,38.0,24.0,7.0,,
2018-05-06,54.0,34.0,10.0,,
2018-05-13,0.0,0.0,0.0,,
2018-05-20,0.0,0.0,0.0,,
2018-05-27,0.0,0.0,0.0,,
2018-06-03,81.0,50.0,15.0,,
2018-06-10,0.0,0.0,0.0,,
2018-06-17,0.0,0.0,0.0,,
2018-06-24,0.0,0.0,0.0,,
2018-07-01,0.0,0.0,0.0,,
2018-07-08,0.0,0.0,0.0,,
2018-07-15,62.0,38.0,12.0,,
2018-07-22,0.0,0.0,0.0,,
2018-07-29,0.0,0.0,0.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-12,0.0,0.0,0.0,,
2018-08-19,0.0,0.0,0.0,,
2018-08-26,0.0,0.0,0.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-09,0.0,0.0,0.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-23,0.0,0.0,0.0,,
2018-09-30,0.0,0.0,0.0,,
2018-10-07,0.0,0.0,0.0,,
2018-10-14,57.0,36.0,11.0,,
2018-10-21,46.0,29.0,9.0,,
2018-10-28,95.0,59.0,18.0,,
2018-11-04,0.0,0.0,0.0,,
2018-11-11,0.0,0.0,0.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,0.0,0.0,0.0,,
2018-12-02,50.0,31.0,9.0,,
2018-12-09,0.0,0.0,0.0,,
2018-12-16,0.0,0.0,0.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,67.0,42.0,13.0,,
2019-01-06,,30.0,9.0,8.0,
2019-01-13,,0.0,0.0,0.0,
2019-01-20,,0.0,0.0,0.0,
2019-01-27,,0.0,0.0,0.0,
2019-02-03,,0.0,0.0,0.0,
2019-02-10,,0.0,0.0,0.0,
2019-02-17,,0.0,0.0,0.0,
2019-02-24,,0.0,0.0,0.0,
2019-03-03,,0.0,0.0,0.0,
2019-03-10,,0.0,0.0,0.0,
2019-03-17,,0.0,0.0,0.0,
2019-03-24,,0.0,0.0,0.0,
2019-03-31,,0.0,0.0,0.0,
